,date,value
127,2018-02-22,10691991.685372
128,2018-02-23,10677221.451074
129,2018-02-26,10709865.531559004
130,2018-02-27,10718164.920718007
131,2018-02-28,10710842.019830002
132,2018-03-01,10653645.790749002
133,2018-03-02,10596286.00477301
134,2018-03-05,10550082.035680007
135,2018-03-06,10513311.673340008
136,2018-03-07,10481692.502803005
137,2018-03-08,10466434.607292006
138,2018-03-09,10477069.515032005
139,2018-03-12,10524658.218152007
140,2018-03-13,10524658.147739008
141,2018-03-14,10510923.794461012
142,2018-03-15,10525313.35400901
143,2018-03-16,10500946.999642009
144,2018-03-19,10496028.750239015
145,2018-03-20,10499269.646798017
146,2018-03-22,10472826.837721014
147,2018-03-23,10444911.561372014
148,2018-03-26,10376085.707718015
149,2018-03-27,10391117.051980013
150,2018-03-28,10380751.398942012
151,2018-03-29,10361980.628919015
152,2018-03-30,10390207.891218012
153,2018-04-02,10422473.75543501
154,2018-04-03,10416511.283713015
155,2018-04-04,10410036.188299013
156,2018-04-05,10428908.150653012
157,2018-04-06,10419155.836379016
158,2018-04-09,10404785.110037012
159,2018-04-10,10434528.183339017
160,2018-04-11,10449468.995247014
161,2018-04-12,10423676.806324016
162,2018-04-13,10448454.972939016
163,2018-04-16,10471266.919602016
164,2018-04-17,10482444.915354019
165,2018-04-18,10489855.739698017
166,2018-04-19,10516037.03006902
167,2018-04-20,10521729.797683015
168,2018-04-23,10526798.73791002
169,2018-04-24,10539763.92817402
170,2018-04-25,10566703.067429014
171,2018-04-26,10538211.528632017
172,2018-04-27,10554975.735656017
173,2018-05-01,10565282.942365017
174,2018-05-02,10560849.322063018
175,2018-05-07,10595430.036913013
176,2018-05-08,10594791.030305013
177,2018-05-09,10610780.424092013
178,2018-05-10,10637759.453444015
179,2018-05-11,10621028.724171013
180,2018-05-14,10625723.91007301
181,2018-05-15,10634976.332358012
182,2018-05-16,10626098.98879501
183,2018-05-17,10638383.57170501
184,2018-05-18,10641252.892964007
185,2018-05-21,10686216.10805301
186,2018-05-22,10693907.870322008
187,2018-05-23,10683129.926176008
188,2018-05-24,10673241.835357012
189,2018-05-25,10672056.44992801
190,2018-05-28,10664723.349578008
191,2018-05-29,10652513.54812001
