,date,value
283,2018-10-10,11261449.775700007
284,2018-10-11,11261449.775700007
285,2018-10-12,11227209.431700006
286,2018-10-15,11166367.249000005
287,2018-10-16,11031565.530900007
288,2018-10-17,11038723.649900006
289,2018-10-18,11047172.097300008
290,2018-10-19,11047172.097300008
291,2018-10-22,11051640.025000006
292,2018-10-23,11051640.025000006
293,2018-10-24,11033057.146700006
294,2018-10-25,11033057.146700006
295,2018-10-26,11011949.970900007
296,2018-10-29,11011949.970900007
297,2018-10-30,10938714.218800006
298,2018-10-31,10915485.927300008
299,2018-11-01,10915485.927300008
300,2018-11-02,10915292.983700007
301,2018-11-05,10879361.272200007
302,2018-11-06,10823232.684900008
303,2018-11-07,10823228.524900008
304,2018-11-08,10812588.904800007
305,2018-11-09,10703756.938300008
306,2018-11-12,10714521.574200008
307,2018-11-13,10714521.574200008
308,2018-11-14,10691655.685700007
309,2018-11-15,10674375.526400007
310,2018-11-16,10674375.526400007
311,2018-11-19,10675732.750800008
312,2018-11-20,10672603.758900007
313,2018-11-21,10672603.758900007
314,2018-11-22,10621947.827100007
315,2018-11-26,10605732.885400008
316,2018-11-27,10603046.321500007
317,2018-11-28,10670075.179100007
318,2018-11-29,10648525.081700008
319,2018-11-30,10749582.513800008
320,2018-12-03,10792259.446800008
321,2018-12-04,10792201.949400008
322,2018-12-05,10796322.102600008
323,2018-12-06,10783083.203700008
324,2018-12-07,10739235.178900007
325,2018-12-10,10749320.795700008
326,2018-12-11,10744369.414600007
327,2018-12-12,10565388.120100006
328,2018-12-13,10593125.187800007
329,2018-12-14,10593125.187800007
330,2018-12-17,10593769.917100009
331,2018-12-18,10593769.917100009
332,2018-12-19,10575174.508200008
333,2018-12-20,10575174.508200008
334,2018-12-21,10527977.553400008
335,2018-12-25,10527977.553400008
336,2018-12-26,10527977.553400008
337,2018-12-27,10515090.553400006
338,2018-12-28,10504423.021200009
339,2019-01-04,10524216.742100008
340,2019-01-07,10501403.170900008
341,2019-01-08,10501298.766100008
